id,node_type,leiden_comm
135112c7ba1762d65f39b1a61777f26ae4dfd8ad,reference,31
8fcd012e8ed2ea8190163369c9f222178e70a19d,reference,32
210980149a6b41d3e8d95c12daa41d6aa391681f,reference,7
4a706c22a6c58d8f0f34a4bb351db9bdfe62ac0f,reference,14
99b9fc2f7619d0b0dc5106ea742e27f7f6a1a677,reference,9
arXiv:2306.13394,reference,2
4feef0fd284feb1233399b400eb897f59ec92755,reference,19
7d2baaa506f494c3d6cf59ee3798c7b3e6021d96,reference,10
fc50a6202e2f675604543c1ae4ef22ec74f61ad5,reference,16
b62d0605137463ea591a0619840305cb98f6958f,reference,5
5502d769595981009e43344f8914e287acca2359,reference,3
511db1334ffd1bc78927051ea348871559a3b337,reference,18
56734ad25cb64754a56180492c74e4046b057ea6,reference,33
93208740c2072e1eb4e2d36037f7f015efd84107,reference,21
297e085317ae2f303443f375d1bfa57199749da8,reference,10
arXiv:2310.19671,reference,21
238eb420c472bfdb1b4d34f9f53abec51f307a6b,reference,5
0e4f4869853c5f0d9d1d740481b0be196b4bec4f,reference,9
32aa3741f0983ab438fd17d09dc24a70595bb67a,reference,2
8436897e713c2242d6291df9a6a33c1544d4dd39,reference,18
40e8af970329135ec95057d73e239dab805ad128,reference,25
1717d77a222db35e67092691f7a7a67cbc1f58d1,reference,7
8978cf7574ceb35f4c3096be768c7547b28a35d0,reference,5
fb144a1d31aec3b2bece6a59bd11a876a9fafb34,reference,14
124d4d374fbef2016fa9880489871a58a7450644,reference,31
e495cdd1c62281b67677103650b885d4eaf151c5,reference,5
4ff7ac8363b2e7ec41ef7e62c0cfbc5398953f5f,reference,5
f2ffd8273d01948310feda2771943673aae4fe6f,reference,27
288a2e32889f39e90b66a52e7523be8fe00e061a,reference,22
0894585294c67193ff3190240554677b56fd79a0,reference,8
54eef13b3fe487cc48a74faf8f486a312f545cc9,reference,19
a221def07d3cd4f29c38234e271faf8a523e0f5a,reference,6
fc84f5b58e68871f3d6889dc2a93dffa7e107be2,reference,7
b37b1dc72b1882858f5120f2cd6883134089a6ed,reference,2
1e6aed52967c2a4de6fa643cc8173aeb44395e30,reference,24
4fd75d18b231f73e9c878cb6029900e4b0e327bb,reference,6
b649a98ce77ece8cd7638bb74ab77d22d9be77e7,reference,11
381a00152b08160b0802c34eb66aa44317911089,reference,19
a922ecbc9f440e5547117a7f188a76de7996eb3c,reference,5
ad1bb59e3e18a0dd8503c3961d6074f162baf710,reference,26
74eae12620bd1c1393e268bddcb6f129a5025166,reference,16
41b0fbe7b579b04e0f2de087f650d85b2a071c5a,reference,19
97efafdb4a3942ab3efba53ded7413199f79c054,reference,5
b5f0766108b2584a33f4ff4425f0e1cfdf510f94,reference,16
0819e62e97f7c4ac88d4659b9e3bff2cae436ed1,reference,18
887306ee7ebd9eebd7faea24106ec8e8f1a50987,reference,2
2cbf8688cbaddb28eac94fafb01251178f664dc7,reference,8
90e41626b8c78600da70c4350c67c3a10525cb37,reference,25
8addb1718c2bc6bbb0d82cd1a57b41198bf65965,reference,7
3e0129ed92d53179c1b5d6e1fd08b50a25e679be,reference,33
bb6426f40b7a5323423826afa0485fd940ec3c78,reference,5
4901c2a982bc67806e7eff9c7f89c927380d2c68,reference,19
4ba57555bef02f988f2ed3bab2f102733dc55221,reference,29
arXiv:2310.18357,reference,8
